Link,Price (€),Area (m²),Hab,Location
https://www.idealista.com/inmueble/101073822/,27500,N/A,384 m²,Vallirana
https://www.idealista.com/inmueble/103477077/,28000,No urbanizable,464 m²,Corbera de Llobregat
https://www.idealista.com/inmueble/108551159/,32000,Urbano (solar),450 m²,Vallirana
https://www.idealista.com/inmueble/99207574/,33000,No urbanizable,500 m²,"Mas Alba-Can Lloses, Sant Pere de Ribes"
https://www.idealista.com/inmueble/108099065/,35000,No urbanizable,493 m²,"Mas Alba-Can Lloses, Sant Pere de Ribes"
https://www.idealista.com/inmueble/106319550/,35000,No urbanizable,323 m²,Sant Vicenç Dels Horts
https://www.idealista.com/inmueble/100834295/,37400,Urbano (solar),440 m²,Sant Vicenç Dels Horts
https://www.idealista.com/inmueble/84094767/,37400,Urbano (solar),465 m²,Sant Vicenç Dels Horts
https://www.idealista.com/inmueble/101092105/,38000,Urbanizable,350 m²,Olivella
https://www.idealista.com/inmueble/98157723/,38000,Urbano (solar),88 m²,"Fondo, Santa Coloma de Gramenet"
https://www.idealista.com/inmueble/98032315/,39000,Urbano (solar),458 m²,Vallirana
https://www.idealista.com/inmueble/103037445/,39000,Urbano (solar),488 m²,Cervelló
https://www.idealista.com/inmueble/100636446/,39900,Urbano (solar),465 m²,Sant Vicenç Dels Horts
https://www.idealista.com/inmueble/107264709/,40000,Urbano (solar),500 m²,Montornès del Vallès
https://www.idealista.com/inmueble/93834583/,41300,Urbano (solar),274 m²,"El Raval, Santa Coloma de Gramenet"
https://www.idealista.com/inmueble/103433331/,41300,N/A,273 m²,Santa Coloma de Gramenet
https://www.idealista.com/inmueble/93484444/,41300,Urbano (solar),274 m²,Santa Coloma de Gramenet
https://www.idealista.com/inmueble/82096238/,44000,N/A,300 m²,"Baix Llobregat Nord, Barcelona"
https://www.idealista.com/inmueble/98083951/,44000,Urbanizable,413 m²,Cervelló
https://www.idealista.com/inmueble/98158628/,44900,Urbanizable,168 m²,"Llefià, Badalona"
https://www.idealista.com/inmueble/103200676/,45000,Urbano (solar),325 m²,Torrelles de Llobregat
https://www.idealista.com/inmueble/106629317/,45000,N/A,104 m²,"Llefià, Badalona"
https://www.idealista.com/inmueble/101475941/,45000,Urbano (solar),83 m²,"Nou Barris, Barcelona"
https://www.idealista.com/inmueble/88206116/,45000,Urbanizable,400 m²,Vallirana
https://www.idealista.com/inmueble/108857413/,47000,Urbano (solar),236 m²,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona"
https://www.idealista.com/inmueble/100520449/,47000,N/A,103 m²,"Santa Rosa - Can Mariner, Santa Coloma de Gramenet"
https://www.idealista.com/inmueble/108719708/,49000,Urbano (solar),483 m²,Torrelles de Llobregat
https://www.idealista.com/inmueble/99032105/,49000,N/A,483 m²,Torrelles de Llobregat
https://www.idealista.com/inmueble/106026724/,49000,Urbano (solar),412 m²,Torrelles de Llobregat
https://www.idealista.com/inmueble/84752428/,50000,Urbano (solar),400 m²,Corbera de Llobregat
https://www.idealista.com/inmueble/27368934/,50000,Urbanizable,450 m²,Sant Vicenç Dels Horts
https://www.idealista.com/inmueble/105616138/,50000,Urbanizable,400 m²,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona"
https://www.idealista.com/inmueble/106945065/,51500,Urbano (solar),119 m²,"El Poble Sec - Parc de Montjuïc, Barcelona"
https://www.idealista.com/inmueble/104220503/,53000,Urbanizable,106 m²,"La Salut, Badalona"
https://www.idealista.com/inmueble/107876173/,54000,Urbano (solar),125 m²,Santa Coloma de Gramenet
https://www.idealista.com/inmueble/108569472/,55000,Urbano (solar),346 m²,Sant Fost de Campsentelles
https://www.idealista.com/inmueble/107092076/,55000,Urbano (solar),300 m²,Sant Fost de Campsentelles
https://www.idealista.com/inmueble/107885152/,55000,Urbanizable,424 m²,"Mas Alba-Can Lloses, Sant Pere de Ribes"
