Link,Price (€),Area (m²),Hab,Location
https://www.idealista.com/inmueble/105326563/,139000,147,4,Torrelles de Llobregat
https://www.idealista.com/inmueble/108386545/,149000,81,3,"Can Calders, Sant Feliu de Llobregat"
https://www.idealista.com/inmueble/108543258/,149000,81,3,"Can Calders, Sant Feliu de Llobregat"
https://www.idealista.com/inmueble/108938524/,155000,81,3,"Santa Rosa - Can Mariner, Santa Coloma de Gramenet"
https://www.idealista.com/inmueble/101938328/,168000,89,3,"Llefià - Sant Roc - Artigues, Badalona"
https://www.idealista.com/inmueble/107805894/,168000,92,3,Montcada i Reixac
https://www.idealista.com/inmueble/104422303/,169000,91,3,Viladecans
https://www.idealista.com/inmueble/108904213/,170000,93,3,"La Gavarra, Cornellà de Llobregat"
https://www.idealista.com/inmueble/108241753/,175500,100,3,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona"
https://www.idealista.com/inmueble/106773838/,179000,150,5,"El Raval, Santa Coloma de Gramenet"
https://www.idealista.com/inmueble/108511441/,180000,98,4,Sant Boi de Llobregat
https://www.idealista.com/inmueble/104901000/,181000,87,3,"El Raval, Barcelona"
https://www.idealista.com/inmueble/108272620/,181000,97,4,Mollet del Vallès
https://www.idealista.com/inmueble/108244032/,181000,97,4,Mollet del Vallès
https://www.idealista.com/inmueble/108267275/,181000,96,4,Mollet del Vallès
https://www.idealista.com/inmueble/108286914/,181000,97,4,Mollet del Vallès
https://www.idealista.com/inmueble/108848900/,183000,95,4,"Centre, Ripollet"
https://www.idealista.com/inmueble/109004775/,185000,95,4,Cerdanyola del Vallès
https://www.idealista.com/inmueble/108128915/,189000,92,3,"Parc Empresarial, Viladecans"
https://www.idealista.com/inmueble/107727826/,190000,83,4,La Llagosta
https://www.idealista.com/inmueble/108727371/,196000,80,3,"Llefià, Badalona"
https://www.idealista.com/inmueble/108104187/,198000,83,3,"Terra Nostra - Font Pudenta, Montcada i Reixac"
https://www.idealista.com/inmueble/107927142/,199000,98,3,"Llefià, Badalona"
