Link,Price (€),Area (m²),Hab,Location
https://www.idealista.com/inmueble/108977846/,750€/mes,60,3,"Marítim, Cubelles"
https://www.idealista.com/inmueble/95861968/,800€/mes,60,1,"La Torrasa, Hospitalet de Llobregat"
https://www.idealista.com/inmueble/86226942/,800€/mes,73,3,"Poble Nou, Vilafranca del Penedès"
https://www.idealista.com/inmueble/98405140/,850€/mes,100,3,Santa Margarida i els Monjos
https://www.idealista.com/inmueble/108778740/,880€/mes,75,2,"Can Boada, Terrassa"
https://www.idealista.com/inmueble/108615037/,900€/mes,84,3,"Can Jofresa - Santa Margarida, Terrassa"
https://www.idealista.com/inmueble/108985099/,925€/mes,75,2,Mataró
https://www.idealista.com/inmueble/86075329/,935€/mes,60,2,"Centre, Terrassa"
https://www.idealista.com/inmueble/108931951/,950€/mes,65,2,Mataró
https://www.idealista.com/inmueble/108930798/,950€/mes,90,1,"Riu, Santa Coloma de Gramenet"
https://www.idealista.com/inmueble/108354967/,1050€/mes,60,2,"Centre, Mataró"
https://www.idealista.com/inmueble/91926973/,1100€/mes,100,2,"Centre Vila - La Geltrú, Vilanova i la Geltrú"
https://www.idealista.com/inmueble/108731787/,1100€/mes,99,3,"Instituts - Ponent, Granollers"
https://www.idealista.com/inmueble/108882762/,1100€/mes,76,2,"Can Palet, Terrassa"
https://www.idealista.com/inmueble/98332692/,1122€/mes,60,3,Canet de Mar
https://www.idealista.com/inmueble/90298055/,1123€/mes,80,2,"La Font de la Guatlla, Barcelona"
https://www.idealista.com/inmueble/108944904/,1150€/mes,130,3,Martorell
https://www.idealista.com/inmueble/108695090/,1150€/mes,67,1,"Gràcia, Sabadell"
https://www.idealista.com/inmueble/101963792/,1150€/mes,66,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/101989040/,1150€/mes,80,3,"Marianao, Sant Boi de Llobregat"
https://www.idealista.com/inmueble/109000683/,1200€/mes,85,1,"Sant Martí, Barcelona"
https://www.idealista.com/inmueble/101843479/,1200€/mes,64,2,"Garraf, Sitges"
https://www.idealista.com/inmueble/107997971/,1200€/mes,80,3,Granollers
https://www.idealista.com/inmueble/106577930/,1200€/mes,79,2,"La Font de la Guatlla, Barcelona"
https://www.idealista.com/inmueble/108996989/,1230€/mes,79,3,Sitges
https://www.idealista.com/inmueble/100460375/,1236€/mes,68,2,Sitges
https://www.idealista.com/inmueble/100140314/,1236€/mes,69,2,Sitges
https://www.idealista.com/inmueble/108597373/,1250€/mes,74,2,"Sant Genís Dels Agudells - Montbau, Barcelona"
https://www.idealista.com/inmueble/98149140/,1300€/mes,75,3,"El Raval, Barcelona"
https://www.idealista.com/inmueble/108956933/,1300€/mes,70,2,"Sant Pere Nord, Terrassa"
https://www.idealista.com/inmueble/108894669/,1300€/mes,85,3,"La Concòrdia, Sabadell"
https://www.idealista.com/inmueble/99551935/,1325€/mes,99,2,"Vinyet-Terramar-Can Pei-Can Girona, Sitges"
https://www.idealista.com/inmueble/108958131/,1340€/mes,64,3,"El Baix Guinardó, Barcelona"
https://www.idealista.com/inmueble/108872788/,1350€/mes,72,1,"El Gòtic, Barcelona"
https://www.idealista.com/inmueble/102103369/,1350€/mes,70,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/99454089/,1375€/mes,74,3,"Sant Pere - Santa Caterina i la Ribera, Barcelona"
https://www.idealista.com/inmueble/105386549/,1395€/mes,61,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/108860406/,1400€/mes,70,2,"Ciutat Vella, Barcelona"
https://www.idealista.com/inmueble/108819496/,1400€/mes,60,1,"Provençals del Poblenou, Barcelona"
https://www.idealista.com/inmueble/107070575/,1400€/mes,75,2,"Centre, Sitges"
https://www.idealista.com/inmueble/90723354/,1430€/mes,80,2,"Hostafrancs, Barcelona"
https://www.idealista.com/inmueble/108987745/,1450€/mes,62,1,"Vila de Gràcia, Barcelona"
https://www.idealista.com/inmueble/108333259/,1450€/mes,91,3,"Ca n'Aurell, Terrassa"
https://www.idealista.com/inmueble/100036122/,1450€/mes,90,2,"El Poble Sec - Parc de Montjuïc, Barcelona"
https://www.idealista.com/inmueble/86768462/,1450€/mes,78,3,"Centre, Alella"
https://www.idealista.com/inmueble/105411840/,1450€/mes,77,2,"Centre, Sabadell"
https://www.idealista.com/inmueble/27727938/,1490€/mes,80,2,"La Trinitat Vella, Barcelona"
https://www.idealista.com/inmueble/108786453/,1500€/mes,70,1,"El Raval, Barcelona"
https://www.idealista.com/inmueble/108805130/,1500€/mes,150,3,Sant Boi de Llobregat
https://www.idealista.com/inmueble/108951258/,1500€/mes,80,1,"La Mina, Sant Adriá de Besós"
https://www.idealista.com/inmueble/100596309/,1500€/mes,90,3,Sant esteve Sesrovires
https://www.idealista.com/inmueble/98441974/,1530€/mes,112,3,Castelldefels
https://www.idealista.com/inmueble/102699840/,1530€/mes,85,2,"Ciutat Vella, Barcelona"
https://www.idealista.com/inmueble/35505397/,1533€/mes,74,2,Vilanova i la Geltrú
https://www.idealista.com/inmueble/108988111/,1550€/mes,124,3,"Les Corts, Barcelona"
https://www.idealista.com/inmueble/102916608/,1550€/mes,64,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/101023255/,1550€/mes,75,2,"Can Palet, Terrassa"
https://www.idealista.com/inmueble/108940666/,1563€/mes,98,2,"La Maternitat i Sant Ramon, Barcelona"
https://www.idealista.com/inmueble/108561582/,1575€/mes,90,2,"La Barceloneta, Barcelona"
https://www.idealista.com/inmueble/108904524/,1600€/mes,61,3,"El Raval, Barcelona"
https://www.idealista.com/inmueble/103393394/,1600€/mes,71,3,"Sants, Barcelona"
https://www.idealista.com/inmueble/107996164/,1600€/mes,69,1,"Ciutat Vella, Barcelona"
https://www.idealista.com/inmueble/108459007/,1600€/mes,131,1,"El Gòtic, Barcelona"
https://www.idealista.com/inmueble/108877876/,1600€/mes,62,2,"Ciutat Vella, Barcelona"
https://www.idealista.com/inmueble/108828915/,1600€/mes,69,2,"Nord, Vilanova i la Geltrú"
https://www.idealista.com/inmueble/108700684/,1600€/mes,110,3,"La Girada, Vilafranca del Penedès"
https://www.idealista.com/inmueble/108414162/,1620€/mes,80,3,"La Maternitat i Sant Ramon, Barcelona"
https://www.idealista.com/inmueble/104521086/,1635€/mes,122,2,Sant Andreu de Llavaneres
https://www.idealista.com/inmueble/109005681/,1650€/mes,80,3,"Centre, Badalona"
https://www.idealista.com/inmueble/108719749/,1650€/mes,65,2,"El Putxet i el Farró, Barcelona"
https://www.idealista.com/inmueble/108990355/,1650€/mes,60,3,"Sant Gervasi - La Bonanova, Barcelona"
https://www.idealista.com/inmueble/108721392/,1650€/mes,60,1,"Eixample, Barcelona"
https://www.idealista.com/inmueble/108665091/,1650€/mes,90,2,"Ciutat Vella, Barcelona"
https://www.idealista.com/inmueble/108765658/,1650€/mes,80,2,"L'Antiga Esquerra de l'Eixample, Barcelona"
https://www.idealista.com/inmueble/31263671/,1650€/mes,75,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/108642672/,1650€/mes,65,2,"Ciutat Vella, Barcelona"
https://www.idealista.com/inmueble/101833696/,1650€/mes,65,1,"El Poble Sec - Parc de Montjuïc, Barcelona"
https://www.idealista.com/inmueble/108837497/,1650€/mes,80,2,"Gràcia, Barcelona"
https://www.idealista.com/inmueble/108026375/,1650€/mes,78,1,"Vila de Gràcia, Barcelona"
https://www.idealista.com/inmueble/103716258/,1700€/mes,90,2,"Provençals del Poblenou, Barcelona"
https://www.idealista.com/inmueble/108458959/,1700€/mes,98,2,"Ciutat Vella, Barcelona"
https://www.idealista.com/inmueble/108943846/,1700€/mes,80,1,"Sant Martí, Barcelona"
https://www.idealista.com/inmueble/108626375/,1700€/mes,65,2,"Gràcia, Barcelona"
https://www.idealista.com/inmueble/108959218/,1700€/mes,82,3,Castelldefels
https://www.idealista.com/inmueble/108987993/,1700€/mes,80,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/107729673/,1720€/mes,80,1,"Sants-Montjuïc, Barcelona"
https://www.idealista.com/inmueble/108958389/,1724€/mes,130,3,"La Nova Esquerra de l'Eixample, Barcelona"
https://www.idealista.com/inmueble/103660709/,1725€/mes,74,2,"Sarrià, Barcelona"
https://www.idealista.com/inmueble/102303013/,1730€/mes,120,3,"Vallpineda-Rocamar, Sant Pere de Ribes"
https://www.idealista.com/inmueble/108436415/,1733€/mes,63,2,"Centre, Sant Just Desvern"
https://www.idealista.com/inmueble/99595891/,1790€/mes,89,2,"La Dreta de l'Eixample, Barcelona"
