Location,Link,Price (€),Area (m²)
"Eixample, Mataró",https://www.idealista.com/obra-nueva/101494379/,254000 ,82 
"Eixample, Mataró",https://www.idealista.com/obra-nueva/101494379/,261000 ,78 
"Eixample, Mataró",https://www.idealista.com/obra-nueva/101494379/,351000 ,109 
"Eixample, Mataró",https://www.idealista.com/obra-nueva/101494379/,357000 ,116 
"Eixample, Mataró",https://www.idealista.com/obra-nueva/101494379/,357000 ,111 
"Eixample, Mataró",https://www.idealista.com/obra-nueva/101494379/,497000 ,149 
"Llevant, Viladecans",https://www.idealista.com/obra-nueva/102127674/,289000 ,85 
"Llevant, Viladecans",https://www.idealista.com/obra-nueva/102127674/,293000 ,85 
"Llevant, Viladecans",https://www.idealista.com/obra-nueva/102127674/,375000 ,112 
"Llevant, Viladecans",https://www.idealista.com/obra-nueva/102127674/,384000 ,110 
"Llevant, Viladecans",https://www.idealista.com/obra-nueva/102127674/,419000 ,119 
"Llevant, Viladecans",https://www.idealista.com/obra-nueva/102127674/,489000 ,142 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96615202/,280000 ,65 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96615202/,338000 ,77 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96615202/,349000 ,79 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96615202/,363000 ,80 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96615202/,418000 ,98 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96615202/,418000 ,99 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96615202/,433000 ,107 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96615202/,522000 ,142 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96615202/,593000 ,157 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96615202/,603000 ,146 
"Fontetes, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/101567021/,206000 ,41 
"Fontetes, Cerdanyola del Vallès",https://www.idealista.com/obra-nueva/101567021/,211000 ,49 
