Location,Link,Price (€),Area (m²),Hab
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/,1660 ,111 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/,1760 ,119 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/,1820 ,111 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/,1840 ,115 ,3 
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/,1290 ,N/A,N/A
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/,1390 ,N/A,N/A
"Gorg, Badalona",https://www.idealista.com/obra-nueva/102587866/,1490 ,N/A,N/A
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96602858/,1420 ,80 ,2 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96602858/,1450 ,96 ,3 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96602858/,1460 ,80 ,2 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96602858/,1485 ,114 ,3 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96602858/,1610 ,81 ,2 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96602858/,1680 ,110 ,3 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96602858/,1850 ,177 ,4 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96602858/,1950 ,139 ,4 
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96602858/,1450 ,N/A,N/A
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96602858/,1490 ,N/A,N/A
"La Marina del Prat Vermell, Barcelona",https://www.idealista.com/obra-nueva/96602858/,4450 ,N/A,N/A
"Gorg - Progrés, Badalona",https://www.idealista.com/obra-nueva/99165992/,1630 ,95 ,3 
"Gorg - Progrés, Badalona",https://www.idealista.com/obra-nueva/99165992/,1835 ,96 ,3 
"Can Clota, Esplugues de Llobregat",https://www.idealista.com/obra-nueva/105151953/,1690 ,61 ,2 
"Centre, Sant Just Desvern",https://www.idealista.com/obra-nueva/92070863/,1640 ,64 ,2 
