Link,Price (€),Area (m²),Hab,Location
https://www.idealista.com/inmueble/106760990/,1300/mes,90,3,"La Font d'En Fargues, Barcelona"
https://www.idealista.com/inmueble/106256484/,1200/mes,76,2,"Centre, Mataró"
https://www.idealista.com/inmueble/26087249/,800/mes,60,2,"Fontetes, Cerdanyola del Vallès"
https://www.idealista.com/inmueble/106756686/,855/mes,72,3,Cerdanyola del Vallès
https://www.idealista.com/inmueble/26698352/,1300/mes,60,2,"L'Antiga Esquerra de l'Eixample, Barcelona"
https://www.idealista.com/inmueble/102387836/,900/mes,51,1,"Valldoreix, Sant Cugat del Vallès"
https://www.idealista.com/inmueble/106754157/,930/mes,92,3,"Baix Llobregat Sud, Barcelona"
https://www.idealista.com/inmueble/102862901/,1300/mes,76,3,Vilassar de Mar
https://www.idealista.com/inmueble/106735930/,1100/mes,58,2,"Gorg - Progrés, Badalona"
https://www.idealista.com/inmueble/106734559/,1283/mes,90,2,"Golf, Sant Cugat del Vallès"
https://www.idealista.com/inmueble/90507687/,1300/mes,50,1,"Sants, Barcelona"
https://www.idealista.com/inmueble/106505026/,1250/mes,55,2,"La Barceloneta, Barcelona"
https://www.idealista.com/inmueble/106254441/,1250/mes,55,2,"La Barceloneta, Barcelona"
https://www.idealista.com/inmueble/102307975/,975/mes,50,1,"El Raval, Barcelona"
https://www.idealista.com/inmueble/106716638/,1300/mes,98,3,"Almeda, Cornellà de Llobregat"
https://www.idealista.com/inmueble/106716642/,1250/mes,56,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/104702358/,1300/mes,50,1,"Sants - Badal, Barcelona"
https://www.idealista.com/inmueble/106713988/,1242/mes,68,3,"El Guinardó, Barcelona"
https://www.idealista.com/inmueble/103554106/,1150/mes,50,1,"El Raval, Barcelona"
https://www.idealista.com/inmueble/106748994/,1196/mes,66,1,"Centre - Estació, Sant Cugat del Vallès"
https://www.idealista.com/inmueble/105807449/,1250/mes,55,1,"El Gòtic, Barcelona"
https://www.idealista.com/inmueble/87627161/,1130/mes,79,2,"Barri Antic - Centre, Viladecans"
https://www.idealista.com/inmueble/1938213/,1010/mes,58,2,"Ciutat Vella, Barcelona"
https://www.idealista.com/inmueble/98700071/,1250/mes,55,1,"El Raval, Barcelona"
https://www.idealista.com/inmueble/95994609/,1100/mes,53,2,"La Prosperitat, Barcelona"
https://www.idealista.com/inmueble/97158779/,1299/mes,106,1,"La Nova Esquerra de l'Eixample, Barcelona"
https://www.idealista.com/inmueble/82992688/,1220/mes,60,2,"Vila de Gràcia, Barcelona"
https://www.idealista.com/inmueble/98327104/,1250/mes,60,1,"El Raval, Barcelona"
https://www.idealista.com/inmueble/96621699/,1245/mes,56,1,"El Poble Sec - Parc de Montjuïc, Barcelona"
https://www.idealista.com/inmueble/106741866/,1290/mes,60,1,"El Gòtic, Barcelona"
https://www.idealista.com/inmueble/86218887/,1200/mes,62,2,"El Parc i la Llacuna del Poblenou, Barcelona"
https://www.idealista.com/inmueble/106594861/,900/mes,70,3,"Can Serra, Hospitalet de Llobregat"
https://www.idealista.com/inmueble/103709739/,900/mes,75,2,Barberà del Vallès
https://www.idealista.com/inmueble/102824385/,1200/mes,95,2,Vilanova del Vallès
https://www.idealista.com/inmueble/106583113/,1200/mes,70,2,Vilanova del Vallès
https://www.idealista.com/inmueble/106612915/,1200/mes,95,3,"Can Borrell, Mollet del Vallès"
https://www.idealista.com/inmueble/106552156/,895/mes,50,2,"Llefià, Badalona"
https://www.idealista.com/inmueble/106539135/,1200/mes,100,2,"Vallès Oriental, Barcelona"
https://www.idealista.com/inmueble/101651377/,1300/mes,52,1,"La Maternitat i Sant Ramon, Barcelona"
https://www.idealista.com/inmueble/105707555/,1075/mes,50,1,"Sants - Badal, Barcelona"
https://www.idealista.com/inmueble/106544969/,1250/mes,63,3,"Sant Martí, Barcelona"
https://www.idealista.com/inmueble/106607040/,990/mes,55,2,"Provençals del Poblenou, Barcelona"
https://www.idealista.com/inmueble/106228778/,1000/mes,72,2,"Vallès Oriental, Barcelona"
https://www.idealista.com/inmueble/94896615/,1300/mes,70,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/106676759/,1200/mes,75,2,"Sant Andreu, Barcelona"
https://www.idealista.com/inmueble/102712263/,1215/mes,52,1,"La Sagrada Família, Barcelona"
https://www.idealista.com/inmueble/98442138/,1000/mes,50,2,"Verdun, Barcelona"
https://www.idealista.com/inmueble/105007531/,1300/mes,74,2,"Gran Via del Mar-Zona Universitaria, Castelldefels"
https://www.idealista.com/inmueble/106577930/,1200/mes,79,2,"La Font de la Guatlla, Barcelona"
https://www.idealista.com/inmueble/105717644/,1300/mes,86,3,"Collblanc, Hospitalet de Llobregat"
https://www.idealista.com/inmueble/105080040/,1300/mes,80,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/92631031/,1250/mes,70,2,Castelldefels
https://www.idealista.com/inmueble/105043397/,1250/mes,65,1,"El Raval, Barcelona"
https://www.idealista.com/inmueble/105468467/,1300/mes,110,2,"Sants - Badal, Barcelona"
