Location,Link,Price (€),Area (m²),Hab
"Cerdanyola nord, Mataró",https://www.idealista.com/obra-nueva/97530956/inmueble/97536776/,160000 ,51 ,2 
"Cerdanyola nord, Mataró",https://www.idealista.com/obra-nueva/97530956/inmueble/97536745/,160000 ,51 ,2 
"Cerdanyola nord, Mataró",https://www.idealista.com/obra-nueva/97530956/inmueble/97536752/,170000 ,51 ,2 
"Cerdanyola nord, Mataró",https://www.idealista.com/obra-nueva/97530956/inmueble/97536769/,170000 ,51 ,2 
"Cerdanyola nord, Mataró",https://www.idealista.com/obra-nueva/97530956/inmueble/100371448/,110000 ,N/A,N/A
"La Salut, Badalona",https://www.idealista.com/obra-nueva/106828742/inmueble/106830924/,170000 ,48 ,1 
"La Salut, Badalona",https://www.idealista.com/obra-nueva/106828742/inmueble/106830966/,185000 ,55 ,1 
"La Salut, Badalona",https://www.idealista.com/obra-nueva/106828742/inmueble/106830822/,205000 ,82 ,2 
"La Salut, Badalona",https://www.idealista.com/obra-nueva/106828742/inmueble/106830948/,210000 ,62 ,2 
"La Salut, Badalona",https://www.idealista.com/obra-nueva/106828742/inmueble/106830973/,215000 ,62 ,2 
"La Salut, Badalona",https://www.idealista.com/obra-nueva/106828742/inmueble/107321496/,242000 ,75 ,3 
"La Salut, Badalona",https://www.idealista.com/obra-nueva/106828742/inmueble/106830958/,245000 ,75 ,3 
"La Salut, Badalona",https://www.idealista.com/obra-nueva/106828742/inmueble/106830981/,245000 ,75 ,3 
"Zona del Mig, Hospitalet de Llobregat",https://www.idealista.com/obra-nueva/107834193/inmueble/107864995/,183000 ,29 ,-
"Zona del Mig, Hospitalet de Llobregat",https://www.idealista.com/obra-nueva/107834193/inmueble/107865048/,190000 ,34 ,-
"Zona del Mig, Hospitalet de Llobregat",https://www.idealista.com/obra-nueva/107834193/inmueble/107865037/,190000 ,34 ,-
"Zona del Mig, Hospitalet de Llobregat",https://www.idealista.com/obra-nueva/107834193/inmueble/107865001/,194000 ,33 ,-
"Zona del Mig, Hospitalet de Llobregat",https://www.idealista.com/obra-nueva/107834193/inmueble/107864908/,216000 ,35 ,-
"Zona del Mig, Hospitalet de Llobregat",https://www.idealista.com/obra-nueva/107834193/inmueble/107865056/,260000 ,52 ,1 
"Poble Nou, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108831426/inmueble/108851658/,194474 ,52 ,2 
"Poble Nou, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108831426/inmueble/108851649/,281761 ,90 ,3 
"Poble Nou, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108831426/inmueble/108851706/,285761 ,90 ,3 
"Poble Nou, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108831426/inmueble/108851679/,295687 ,96 ,3 
"Poble Nou, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108831426/inmueble/108851675/,295688 ,96 ,3 
"Poble Nou, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108831426/inmueble/108851681/,297182 ,96 ,3 
"Poble Nou, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108831426/inmueble/108851661/,298687 ,96 ,3 
"Poble Nou, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108831426/inmueble/108851680/,300358 ,98 ,3 
"Poble Nou, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108831426/inmueble/108851683/,304358 ,98 ,3 
"Poble Nou, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108831426/inmueble/108851581/,358672 ,123 ,3 
"El Raval, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/105220330/inmueble/105223588/,210000 ,53 ,2 
"El Raval, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/105220330/inmueble/107759856/,230000 ,53 ,2 
"El Raval, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/105220330/inmueble/105223628/,245000 ,54 ,2 
"El Raval, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/105220330/inmueble/108423187/,245000 ,50 ,2 
"El Raval, Santa Coloma de Gramenet",https://www.idealista.com/obra-nueva/105220330/inmueble/106621618/,265000 ,76 ,3 
Montmeló,https://www.idealista.com/obra-nueva/108420802/inmueble/108589693/,213800 ,85 ,3 
Montmeló,https://www.idealista.com/obra-nueva/108420802/inmueble/108589679/,219800 ,106 ,2 
Montmeló,https://www.idealista.com/obra-nueva/108420802/inmueble/108589620/,231700 ,112 ,3 
Montmeló,https://www.idealista.com/obra-nueva/108420802/inmueble/108589683/,239700 ,102 ,3 
Montmeló,https://www.idealista.com/obra-nueva/108420802/inmueble/108589789/,250100 ,100 ,4 
Montmeló,https://www.idealista.com/obra-nueva/108420802/inmueble/108589780/,275500 ,117 ,4 
