Link,Price (€),Area (m²),Hab,Location
https://www.idealista.com/inmueble/100336389/,220000,77,2,"La Marina del Port, Barcelona"
https://www.idealista.com/inmueble/106543242/,229000,78,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/106301609/,135000,79,2,"La Pau, Badalona"
https://www.idealista.com/inmueble/105717761/,240000,74,1,"La Sagrada Família, Barcelona"
https://www.idealista.com/inmueble/106134732/,215000,75,2,Arenys de Mar
https://www.idealista.com/inmueble/106453051/,240000,86,2,"La Trinitat Vella, Barcelona"
https://www.idealista.com/inmueble/105913531/,179900,72,1,"El Raval, Barcelona"
https://www.idealista.com/inmueble/105024143/,174900,82,2,"Santa Rosa - Can Mariner, Santa Coloma de Gramenet"
https://www.idealista.com/inmueble/105675209/,220000,75,1,"La Torrasa, Hospitalet de Llobregat"
https://www.idealista.com/inmueble/105931504/,229000,76,2,"Les Planes, Sant Joan Despí"
https://www.idealista.com/inmueble/106041648/,165000,85,2,"La Salut, Badalona"
https://www.idealista.com/inmueble/106751602/,176000,79,2,"Estació del Nord, Mollet del Vallès"
https://www.idealista.com/inmueble/106689111/,174990,74,2,"La Morera, Badalona"
https://www.idealista.com/inmueble/106040303/,236000,78,2,"Can Baró, Barcelona"
https://www.idealista.com/inmueble/106627842/,171000,83,2,"Cerdanyola, Mataró"
https://www.idealista.com/inmueble/100892635/,191000,75,2,Vallirana
https://www.idealista.com/inmueble/97024441/,225000,104,2,Montornès del Vallès
https://www.idealista.com/inmueble/106237736/,194500,83,2,"Barri Antic - Centre, Viladecans"
https://www.idealista.com/inmueble/106240718/,239500,71,2,La Roca del Vallès
https://www.idealista.com/inmueble/105429721/,230000,109,2,La Roca del Vallès
https://www.idealista.com/inmueble/106448685/,170000,84,1,"La Salut, Barcelona"
https://www.idealista.com/inmueble/105567061/,225000,104,2,Montornès del Vallès
https://www.idealista.com/inmueble/106688530/,179900,72,1,"El Raval, Barcelona"
https://www.idealista.com/inmueble/105069279/,170000,87,2,"Zona Alta, Premiá de Mar"
https://www.idealista.com/inmueble/106394676/,220000,84,2,La Roca del Vallès
https://www.idealista.com/inmueble/106295737/,210000,95,2,Mataró
https://www.idealista.com/inmueble/106523347/,159000,72,2,"Llefià, Badalona"
https://www.idealista.com/inmueble/106126896/,215000,71,2,"Centre, Mataró"
